gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score
Female,group D,bachelor's degree,free/reduced,complete,64,61,85
female,group E,high school,free/reduced,complete,55,71,95
male,group B,college,standard,,64,48,39
female,group E,associate's degree,standard,complete,40,814,67
male,group B,college,free/reduced,not complete,85,59,94
female,group D,college,free/reduced,not complete,91,79,272
,group C,high school,free/reduced,complete,95,52,97
female,group B,master's degree,free/reduced,not complete,50,33,39
female,group B,high school,free/reduced,not complete,96,53,58
male,group C,high school,free/reduced,Not complete,31,77,48
female,group E,college,standard,not complete,49,81,53
other,group D,associate's degree,free/reduced,not complete,100,81,40
female,group E,associate's degree,standard,not complete,72,68,49
female,group A,college,standard,complete,73,41,97
female,group E,college,free/reduced,complete,69,1012,42
Male,group A,high school,standard,not complete,62,85,62
male,group E,high school,free/reduced,complete,71,47,71
female,group E,bachelor's degree,standard,not complete,87,72,95
undisclosed,group D,college,free/reduced,not complete,46,57,38
other,group E,high school,free/reduced,complete,77,65,94
female,group D,high school,,not complete,47,32,91
female,group C,master's degree,standard,not complete,76,82,87
male,group A,college,standard,not complete,100,56,89
male,group C,associate's degree,free/reduced,complete,72,64,53
female,group A,associate's degree,standard,not complete,69,48,79
female,Group A,bachelor's degree,free/reduced,not complete,51,88,34
male,group A,high school,free/reduced,complete,89,90,53
female,group B,bachelor's degree,standard,complete,79,48,73
female,group E,college,standard,not complete,62,93,34
female,group E,associate's degree,free/reduced,not complete,34,84,37
male,group B,bachelor's degree,Standard,complete,43,46,52
female,group D,,standard,not complete,37,69,53
male,group D,high school,standard,Not complete,73,48,95
female,group A,associate's degree,free/reduced,complete,37,35,56
female,,college,standard,Not complete,33,83,91
female,group B,college,free/reduced,not complete,94,43,31
female,group E,bachelor's degree,standard,not complete,75,93,35
other,group D,associate's degree,free/reduced,complete,86,94,49
undisclosed,group E,high school,,not complete,30,85,92
female,group D,college,free/reduced,complete,43,60,43
male,group C,associate's degree,free/reduced,complete,58,81,53
other,group A,college,free/reduced,not complete,33,73,98
other,group D,associate's degree,standard,not complete,34,41,53
female,group D,high school,standard,complete,83,44,59
male,group D,high school,standard,complete,40,47,76
male,group B,bachelor's degree,free/reduced,not complete,48,66,68
female,group B,Associate's degree,free/reduced,complete,51,52,32
male,group E,college,standard,complete,76,59,60
male,group E,associate's degree,free/reduced,not complete,63,31,86
male,group B,associate's degree,free/reduced,complete,50,86,33
female,group C,high school,standard,complete,93,60,76
female,group C,,standard,,80,76,42
female,group E,high school,free/reduced,not complete,89,70,88
female,group A,bachelor's degree,free/reduced,,47,61,48
other,group E,associate's degree,Standard,not complete,94,92,64
male,group E,high school,standard,complete,95,60,57
male,group E,bachelor's degree,free/reduced,complete,95,58,81
male,group D,high school,free/reduced,complete,41,69,43
male,group C,college,free/reduced,not complete,100,94,62
female,group E,high school,free/reduced,not complete,57,67,37
male,group B,high school,free/reduced,complete,51,73,42
male,group B,high school,free/reduced,complete,51,73,42
male,group C,associate's degree,standard,complete,82,52,41
male,group B,high school,free/reduced,not complete,33,39,45
female,group D,high school,free/reduced,complete,40,71,80
male,group E,bachelor's degree,free/reduced,complete,74,63,99
female,group C,bachelor's degree,free/reduced,complete,98,48,69
male,Group C,associate's degree,standard,not complete,75,86,93
male,group E,college,free/reduced,not complete,418,38,58
male,group D,associate's degree,standard,not complete,91,62,50
male,group D,high school,free/reduced,not complete,59,38,58
female,group C,high school,free/reduced,complete,69,94,40
male,group A,college,standard,not complete,65,43,92
female,group A,bachelor's degree,standard,not complete,58,90,81
male,group C,high school,free/reduced,not complete,86,90,75
male,group A,college,free/reduced,complete,76,65,97
,group E,high school,free/reduced,not complete,99,73,93
female,group E,college,free/reduced,not complete,99,34,53
female,group D,high school,standard,complete,86,81,60
male,group B,bachelor's degree,standard,not complete,55,66,83
female,group C,bachelor's degree,free/reduced,not complete,55,54,59
,group C,high school,Free/reduced,not complete,83,57,99
female,group C,high school,free/reduced,complete,39,72,54
male,group C,high school,free/reduced,,54,64,77
undisclosed,group D,college,standard,not complete,35,495,36
male,group E,high school,free/reduced,not complete,42,48,36
female,group B,high school,standard,not complete,86,51,30
male,group B,high school,standard,complete,70,32,57
female,group E,high school,standard,not complete,51,67,43
male,group D,college,free/reduced,,58,78,85
male,group E,high school,free/reduced,complete,74,95,38
undisclosed,group B,bachelor's degree,free/reduced,not complete,31,39,82
male,group E,high school,standard,not complete,30,76,90
male,group C,high school,free/reduced,not complete,64,40,43
female,group C,college,standard,not complete,57,33,45
female,group C,,standard,complete,76,48,95
female,group D,bachelor's degree,free/reduced,complete,71,81,99
male,group D,associate's degree,standard,not complete,43,30,45
female,group E,high school,free/reduced,not complete,31,40,64
female,group E,college,standard,complete,67,55,36
female,group D,high school,standard,complete,56,73,93
female,group E,associate's degree,free/reduced,Complete,31,36,96
female,group B,college,free/reduced,not complete,75,42,99
Male,group A,high school,free/reduced,not complete,35,85,53
male,group A,college,standard,complete,66,79,47
female,group E,college,free/reduced,not complete,31,67,69
undisclosed,group B,college,free/reduced,not complete,32,46,37
male,group D,high school,free/reduced,Complete,57,37,46
Female,group E,master's degree,,complete,88,69,60
male,group C,bachelor's degree,standard,complete,87,86,84
female,group D,high school,free/reduced,complete,81,87,34
female,group B,high school,free/reduced,complete,70,96,51
undisclosed,group A,master's degree,Standard,not complete,41,55,33
female,group D,college,standard,not complete,71,93,48
female,group C,bachelor's degree,free/reduced,complete,49,86,74
male,group E,high school,standard,not complete,42,66,53
,group E,high school,standard,complete,94,48,65
male,group E,college,standard,complete,792,88,48
male,group E,college,standard,complete,792,88,48
female,group B,bachelor's degree,standard,not complete,67,100,41
other,group C,bachelor's degree,standard,complete,79,62,52
male,group E,high school,free/reduced,complete,76,64,91
female,group A,bachelor's degree,free/reduced,complete,82,96,50
female,group A,high school,free/reduced,complete,89,94,42
male,group B,college,standard,not complete,76,57,69
male,group B,high school,standard,not complete,50,78,49
male,group E,college,standard,not complete,66,89,59
female,group B,associate's degree,free/reduced,complete,77,81,59
female,group B,high school,standard,complete,75,63,32
female,group B,high school,free/reduced,complete,82,66,96
female,group A,high school,free/reduced,complete,48,99,58
female,group A,bachelor's degree,free/reduced,not complete,88,72,52
male,group A,associate's degree,standard,not complete,99,88,41
male,group E,bachelor's degree,standard,not complete,34,30,30
male,group C,college,free/reduced,not complete,63,97,36
female,group E,bachelor's degree,standard,not complete,55,54,84
male,Group D,college,free/reduced,complete,80,46,51
female,group D,bachelor's degree,standard,complete,68,62,66
male,group A,college,standard,not complete,32,91,78
female,group A,college,Standard,not complete,81,32,90
,group A,college,standard,not complete,67,70,68
male,group A,high school,standard,not complete,57,83,93
male,group D,college,standard,Complete,62,36,32
female,group A,college,standard,not complete,40,42,50
male,group E,high school,free/reduced,not complete,33,73,67
female,group C,master's degree,free/reduced,complete,55,38,91
female,Group C,high school,standard,,94,44,41
male,group D,college,Free/reduced,not complete,34,80,36
male,group D,high school,standard,complete,90,59,90
female,group E,high school,standard,not complete,92,47,53
male,group D,high school,free/reduced,complete,84,66,73
male,group A,high school,,complete,93,38,31
male,group A,college,free/reduced,not complete,90,79,76
male,group A,college,free/reduced,complete,76,88,43
female,group E,college,standard,not complete,89,94,38
male,group A,college,,not complete,82,36,74
other,group A,college,standard,complete,63,79,100
undisclosed,group B,high school,standard,complete,94,40,96
Male,group A,high school,free/reduced,complete,97,33,62
female,group E,Bachelor's degree,standard,complete,38,51,36
male,group D,college,free/reduced,complete,77,95,89
female,group B,bachelor's degree,standard,not complete,92,32,59
male,group B,bachelor's degree,free/reduced,not complete,67,94,81
female,group C,master's degree,free/reduced,not complete,71,32,69
undisclosed,group A,associate's degree,standard,not complete,33,68,56
female,group A,high school,standard,not complete,72,53,44
female,group E,associate's degree,standard,complete,73,98,63
male,group A,bachelor's degree,free/reduced,complete,35,45,34
female,group A,master's degree,,not complete,79,90,69
male,group E,college,standard,complete,81,95,70
female,group B,college,standard,not complete,65,82,32
female,group E,associate's degree,free/reduced,complete,58,90,99
female,group C,high school,standard,not complete,87,37,44
male,group D,high school,free/reduced,not complete,56,77,90
female,group D,college,standard,not complete,68,84,31
female,group E,bachelor's degree,standard,complete,86,58,63
female,group D,bachelor's degree,Standard,not complete,56,68,80
male,group C,college,free/reduced,complete,44,68,65
female,group B,master's degree,standard,complete,56,82,82
male,group A,college,standard,complete,73,43,95
male,group D,high school,free/reduced,complete,93,76,76
male,group C,high school,free/reduced,not complete,60,45,77
male,group D,high school,free/reduced,complete,890,89,47
male,group D,college,free/reduced,complete,66,78,74
male,group E,master's degree,standard,,42,94,64
female,group C,high school,standard,complete,34,45,66
male,group A,college,standard,not complete,68,65,75
female,group E,associate's degree,standard,complete,83,46,66
male,group D,bachelor's degree,standard,complete,99,64,44
female,group D,bachelor's degree,free/reduced,complete,31,97,98
male,group A,college,standard,not complete,74,74,60
male,group C,high school,free/reduced,complete,96,90,64
male,group B,bachelor's degree,free/reduced,complete,46,418,39
female,group E,high school,free/reduced,not complete,34,33,34
male,group D,college,standard,not complete,49,78,63
female,group A,high school,standard,not complete,93,85,52
female,group A,bachelor's degree,standard,not complete,96,64,39
female,group B,high school,free/reduced,not complete,70,81,92
male,group E,bachelor's degree,standard,not complete,99,97,31
male,group E,associate's degree,free/reduced,not complete,81,58,52
female,group B,high school,standard,not complete,77,76,90
female,group B,bachelor's degree,standard,not complete,48,44,58
Female,group B,high school,standard,complete,74,39,100
male,group B,high school,free/reduced,complete,87,44,43
male,group E,college,free/reduced,complete,42,88,80
other,group D,associate's degree,standard,,100,78,80
male,group D,college,free/reduced,not complete,70,63,31
male,group C,associate's degree,Standard,not complete,93,37,58
male,group B,bachelor's degree,free/reduced,not complete,89,43,88
male,group C,high school,standard,not complete,48,57,94
male,group E,high school,free/reduced,complete,53,45,63
female,group E,college,standard,not complete,90,34,51
female,group B,master's degree,free/reduced,not complete,49,88,67
female,group C,bachelor's degree,free/reduced,Complete,92,30,38
female,group A,college,standard,not complete,44,53,73
male,group D,bachelor's degree,standard,complete,30,30,85
female,,bachelor's degree,free/reduced,Not complete,65,32,30
female,group E,college,standard,not complete,57,96,32
male,group B,high school,free/reduced,complete,31,49,62
male,group A,college,standard,complete,51,43,59
female,group A,college,free/reduced,not complete,100,71,82
female,group A,college,free/reduced,not complete,100,71,82
male,group A,high school,standard,complete,72,79,99
female,group E,College,standard,complete,35,61,31
male,group A,college,standard,not complete,55,82,62
female,group D,high school,standard,complete,49,67,62
female,group A,associate's degree,standard,complete,49,52,84
other,group A,high school,standard,not complete,99,76,52
female,group A,college,standard,not complete,80,70,39
male,group A,bachelor's degree,free/reduced,complete,52,57,65
male,group B,high school,free/reduced,not complete,65,92,32
female,group E,high school,free/reduced,Not complete,34,30,49
female,group C,high school,free/reduced,complete,77,70,36
undisclosed,group E,high school,standard,not complete,52,60,84
male,group B,high school,standard,not complete,97,95,90
female,group C,college,free/reduced,not complete,67,924,56
male,group B,college,free/reduced,complete,42,78,36
female,group E,college,free/reduced,not complete,96,660,66
undisclosed,group E,high school,free/reduced,complete,92,93,79
female,group B,associate's degree,free/reduced,complete,64,87,89
female,group B,associate's degree,standard,not complete,59,50,70
female,group E,associate's degree,standard,not complete,91,44,83
female,group B,college,standard,,30,60,71
female,group E,bachelor's degree,standard,not complete,66,91,40
female,group E,college,free/reduced,not complete,75,52,62
male,group C,high school,free/reduced,complete,97,56,84
male,group A,college,free/reduced,complete,69,56,77
male,group C,high school,standard,complete,93,71,55
female,group D,bachelor's degree,free/reduced,not complete,75,37,62
female,group A,Associate's degree,standard,complete,74,52,32
female,group A,college,free/reduced,not complete,39,63,49
female,group A,college,free/reduced,not complete,39,63,49
female,group C,master's degree,free/reduced,not complete,57,94,44
male,group A,associate's degree,free/reduced,not complete,71,92,40
male,group A,associate's degree,free/reduced,not complete,71,92,40
male,group D,high school,standard,complete,90,85,34
male,group E,bachelor's degree,standard,not complete,96,48,47
female,group A,college,free/reduced,complete,72,98,53
male,group A,associate's degree,free/reduced,complete,73,33,76
female,group C,high school,standard,complete,44,47,74
female,group B,college,standard,complete,408,51,50
female,group D,high school,standard,complete,44,76,43
male,group B,,standard,complete,42,71,93
male,group B,high school,free/reduced,complete,49,44,88
female,Group C,master's degree,standard,not complete,53,60,97
male,group C,college,standard,not complete,69,37,75
undisclosed,group C,master's degree,standard,not complete,32,49,63
female,group A,high school,free/reduced,complete,100,42,91
other,group C,high school,standard,not complete,95,37,56
female,group A,high school,Free/reduced,complete,100,57,59
male,group E,bachelor's degree,free/reduced,complete,51,64,42
male,group C,bachelor's degree,free/reduced,complete,93,45,53
male,group A,high school,standard,not complete,87,86,64
male,group B,college,standard,complete,66,37,96
undisclosed,group E,high school,standard,complete,70,44,68
female,group E,Associate's degree,standard,complete,49,41,79
female,group B,master's degree,free/reduced,not complete,82,71,63
female,group C,high school,free/reduced,not complete,34,95,92
,Group D,master's degree,standard,complete,35,73,37
female,group A,bachelor's degree,free/reduced,complete,98,32,99
male,group C,high school,standard,complete,94,86,77
female,group E,high school,free/reduced,not complete,96,52,38
female,group C,high school,standard,complete,88,62,54
female,group B,associate's degree,free/reduced,complete,57,98,75
female,group B,associate's degree,free/reduced,complete,57,98,75
female,group D,college,free/reduced,complete,90,69,50
male,group E,,free/reduced,complete,34,54,73
female,group A,bachelor's degree,free/reduced,not complete,75,56,35
female,group C,high school,standard,complete,43,31,61
female,group A,bachelor's degree,,complete,61,64,88
undisclosed,group D,bachelor's degree,standard,complete,77,37,82
Undisclosed,group C,high school,standard,not complete,76,77,79
female,group E,associate's degree,free/reduced,complete,711,79,50
male,group B,high school,standard,not complete,65,47,86
female,group C,college,standard,complete,82,39,75
male,group C,bachelor's degree,standard,not complete,82,39,70
female,group C,associate's degree,,Not complete,37,85,34
female,group B,college,standard,not complete,93,90,78
female,group E,college,free/reduced,not complete,49,33,37
female,group E,master's degree,standard,complete,75,91,100
male,group C,associate's degree,free/reduced,not complete,77,32,99
female,group D,college,standard,not complete,37,46,87
male,group D,high school,free/reduced,complete,68,83,96
female,group D,high school,standard,not complete,54,44,41
female,group D,high school,free/reduced,complete,40,79,64
male,group B,master's degree,standard,not complete,68,41,39
Female,group C,associate's degree,standard,complete,74,39,46
male,group B,associate's degree,free/reduced,complete,35,63,60
female,group B,bachelor's degree,standard,complete,70,88,75
undisclosed,group E,bachelor's degree,free/reduced,complete,65,93,72
male,group E,bachelor's degree,standard,not complete,69,93,78
female,group C,college,standard,complete,51,41,54
female,group E,associate's degree,standard,not complete,98,43,63
male,group E,bachelor's degree,free/reduced,not complete,91,41,65
male,group E,high school,free/reduced,not complete,76,53,33
female,group E,associate's degree,free/reduced,complete,74,97,84
female,group E,associate's degree,free/reduced,complete,74,97,84
male,group E,high school,standard,complete,71,36,85
male,group A,associate's degree,free/reduced,not complete,49,73,31
other,group A,college,free/reduced,,59,64,69
male,Group D,high school,free/reduced,not complete,45,75,76
male,group A,college,free/reduced,complete,54,42,78
female,group A,high school,free/reduced,not complete,68,94,54
other,group D,bachelor's degree,standard,not complete,61,45,93
male,group A,high school,free/reduced,complete,59,48,96
male,group A,high school,free/reduced,complete,59,48,96
male,group B,associate's degree,free/reduced,complete,56,96,99
other,group A,high school,standard,complete,76,75,95
male,group D,high school,free/reduced,complete,43,35,75
male,group A,associate's degree,free/reduced,not complete,66,43,60
male,Group E,high school,free/reduced,not complete,94,33,89
female,group E,bachelor's degree,standard,complete,47,57,31
male,group B,high school,free/reduced,not complete,54,60,35
female,group E,High school,standard,not complete,32,52,52
female,group D,college,free/reduced,not complete,54,96,42
female,group B,high school,free/reduced,complete,64,96,71
female,Group B,bachelor's degree,free/reduced,complete,37,30,33
female,,bachelor's degree,standard,complete,39,89,54
male,group E,college,standard,not complete,30,36,86
female,group A,high school,free/reduced,not complete,61,77,61
male,group E,college,free/reduced,complete,48,95,77
male,group B,college,standard,complete,52,46,50
female,group A,high school,standard,complete,54,35,60
female,group E,high school,free/reduced,complete,73,82,63
male,group C,high school,free/reduced,complete,45,69,65
female,group B,college,free/reduced,not complete,59,87,94
male,group D,high school,free/reduced,complete,84,90,63
male,group D,bachelor's degree,free/reduced,not complete,59,40,36
female,group D,college,free/reduced,complete,69,93,80
other,group E,high school,free/reduced,complete,72,97,73
female,group E,associate's degree,free/reduced,not complete,58,74,50
female,Group A,associate's degree,free/reduced,not complete,77,77,45
female,group E,master's degree,free/reduced,complete,53,94,82
male,group D,college,free/reduced,not complete,68,38,86
undisclosed,group E,college,standard,complete,52,60,80
male,group E,associate's degree,free/reduced,not complete,59,30,77
female,group E,high school,standard,complete,94,46,30
male,group E,associate's degree,standard,complete,34,51,760
male,group E,high school,standard,not complete,42,40,38
male,group C,master's degree,free/reduced,complete,65,47,37
Male,group D,associate's degree,free/reduced,,76,55,72
female,group B,associate's degree,standard,not complete,94,47,880
male,group D,associate's degree,Free/reduced,complete,79,83,95
,group A,high school,standard,not complete,59,79,35
female,group B,college,free/reduced,complete,95,61,30
male,group E,college,standard,not complete,40,30,67
male,group A,high school,free/reduced,not complete,44,87,47
female,group B,college,free/reduced,not complete,61,51,98
male,group B,high school,standard,complete,84,93,100
male,group C,associate's degree,free/reduced,complete,75,80,93
male,group C,high school,free/reduced,not complete,51,74,40
undisclosed,group B,college,standard,complete,62,38,98
female,group E,master's degree,standard,not complete,77,801,75
female,group E,college,standard,not complete,86,97,54
female,group A,high school,free/reduced,complete,32,91,68
female,group B,high school,standard,complete,77,76,77
male,group E,college,standard,not complete,57,85,80
male,group E,high school,standard,complete,72,74,71
,,associate's degree,standard,complete,68,51,57
female,group B,college,free/reduced,not complete,78,53,55
male,group E,bachelor's degree,standard,not complete,100,85,68
male,group D,college,standard,not complete,57,54,68
female,group E,bachelor's degree,standard,not complete,83,53,31
male,group D,high school,standard,complete,54,88,85
male,group A,college,standard,complete,49,84,64
male,group E,bachelor's degree,free/reduced,not complete,51,53,35
male,group E,bachelor's degree,free/reduced,not complete,51,53,35
male,group C,high school,free/reduced,,56,72,51
male,group D,high school,free/reduced,Complete,75,55,65
female,group D,high school,free/reduced,not complete,95,100,88
other,group D,master's degree,standard,complete,59,56,58
female,group A,associate's degree,standard,complete,54,56,40
female,group D,college,free/reduced,complete,64,50,41
male,group B,associate's degree,free/reduced,complete,56,60,100
male,group E,college,free/reduced,Complete,38,95,53
male,group D,high school,free/reduced,complete,52,99,91
male,group B,high school,standard,complete,30,60,83
male,group A,associate's degree,free/reduced,,59,93,89
male,group A,high school,standard,complete,60,47,90
female,group A,associate's degree,free/reduced,Not complete,79,54,66
male,group A,high school,standard,not complete,84,65,66
male,group A,high school,standard,not complete,84,65,66
male,group C,college,standard,complete,70,71,35
male,group D,associate's degree,free/reduced,not complete,46,44,54
undisclosed,group D,high school,standard,complete,90,74,51
undisclosed,group B,associate's degree,standard,not complete,50,52,75
male,group E,associate's degree,free/reduced,complete,88,100,69
female,group A,associate's degree,free/reduced,complete,55,71,32
male,group E,college,standard,complete,88,41,95
male,group B,bachelor's degree,standard,complete,49,86,46
male,group D,college,free/reduced,complete,85,54,44
female,group D,college,standard,complete,99,77,74
female,group E,associate's degree,,complete,72,46,89
female,group C,master's degree,free/reduced,complete,49,74,89
other,group A,high school,standard,not complete,46,48,43
female,group A,college,standard,not complete,34,48,71
male,group E,college,standard,complete,93,79,49
male,group E,associate's degree,free/reduced,not complete,33,58,93
female,group B,high school,standard,not complete,99,89,90
other,group D,associate's degree,free/reduced,not complete,75,89,93
female,group A,high school,free/reduced,complete,30,63,59
male,group D,associate's degree,standard,complete,81,57,63
male,group E,associate's degree,free/reduced,not complete,61,54,53
other,group C,,standard,complete,70,59,41
male,group C,high school,standard,complete,89,50,71
female,group D,high school,standard,complete,69,68,57
other,group D,associate's degree,standard,not complete,98,64,64
female,group D,high school,free/reduced,not complete,80,87,99
male,group E,college,free/reduced,complete,78,40,31
male,group A,master's degree,standard,complete,38,84,54
undisclosed,group C,college,free/reduced,not complete,94,53,46
female,group E,associate's degree,free/reduced,complete,31,93,59
female,group C,high school,standard,not complete,56,36,74
female,group B,high school,standard,complete,92,95,55
male,group A,high school,standard,not complete,50,82,57
other,group C,bachelor's degree,standard,complete,70,59,72
female,group E,high school,free/reduced,not complete,37,36,47
female,Group A,associate's degree,standard,complete,96,98,38
male,group A,high school,free/reduced,not complete,385,55,54
male,group A,associate's degree,standard,,50,73,42
female,group E,high school,free/reduced,complete,37,37,50
other,group A,high school,standard,complete,39,48,49
female,group C,bachelor's degree,free/reduced,not complete,76,75,51
female,group B,high school,free/reduced,complete,34,44,87
male,group E,high school,standard,not complete,100,78,69
female,group D,high school,standard,not complete,776,97,64
female,group C,,free/reduced,complete,43,53,95
male,group D,associate's degree,free/reduced,not complete,68,59,32
female,group A,associate's degree,standard,not complete,71,95,60
male,group B,bachelor's degree,standard,complete,74,55,59
female,group C,bachelor's degree,standard,not complete,89,77,51
female,group A,associate's degree,free/reduced,not complete,72,89,85
female,group B,college,standard,complete,42,58,42
female,group B,high school,free/reduced,not complete,64,85,81
male,group E,college,standard,not complete,100,93,75
male,group E,college,free/reduced,not complete,396,33,53
female,group E,high school,free/reduced,not complete,80,82,88
female,group B,bachelor's degree,free/reduced,complete,83,64,40
undisclosed,group C,bachelor's degree,free/reduced,complete,67,40,96
undisclosed,group E,high school,free/reduced,complete,58,66,71
other,group E,high school,free/reduced,complete,58,81,92
female,group A,bachelor's degree,standard,not complete,640,80,82
male,group B,high school,free/reduced,not complete,47,75,60
male,group C,high school,free/reduced,complete,85,43,92
undisclosed,group C,college,standard,not complete,41,84,65
,group E,high school,free/reduced,complete,72,87,31
,group E,high school,free/reduced,complete,72,87,31
undisclosed,group C,high school,standard,not complete,74,93,36
female,group B,bachelor's degree,standard,not complete,32,41,75
female,group B,high school,free/reduced,complete,94,95,87
undisclosed,group D,high school,free/reduced,complete,76,54,82
female,group C,high school,standard,not complete,96,98,51
female,group E,high school,standard,not complete,74,42,91
female,group E,college,free/reduced,not complete,55,97,43
male,group E,college,free/reduced,not complete,99,91,57
female,group A,associate's degree,standard,complete,40,52,73
female,group C,college,free/reduced,not complete,68,47,90
male,group D,associate's degree,free/reduced,not complete,95,61,79
male,group E,college,standard,not complete,73,82,37
female,group A,college,free/reduced,not complete,66,30,99
male,group C,college,free/reduced,complete,84,31,50
male,group A,high school,free/reduced,complete,79,52,825
male,group D,high school,standard,complete,45,75,52
female,group D,bachelor's degree,standard,not complete,94,82,88
male,group D,associate's degree,free/reduced,complete,72,95,79
undisclosed,group D,college,free/reduced,not complete,32,74,46
female,group E,high school,standard,complete,39,99,95
female,group C,high school,standard,complete,30,30,95
male,group B,associate's degree,standard,complete,35,77,42
female,group C,college,free/reduced,not complete,64,97,98
male,Group D,college,free/reduced,complete,98,36,76
female,group D,high school,free/reduced,complete,33,60,88
female,group A,bachelor's degree,standard,not complete,65,100,75
male,group E,,free/reduced,complete,31,99,96
male,group B,high school,standard,not complete,91,91,93
other,group A,college,standard,complete,52,72,70
other,group E,high school,free/reduced,not complete,31,44,50
female,group D,college,free/reduced,complete,37,80,50
male,group D,college,free/reduced,complete,94,76,63
female,group E,associate's degree,standard,not complete,44,83,98
male,group D,associate's degree,standard,,66,92,90
female,group A,high school,free/reduced,not complete,40,77,65
female,group D,bachelor's degree,standard,not complete,87,91,90
male,group E,college,standard,not complete,77,82,55
female,group A,high school,standard,complete,52,86,85
male,group C,bachelor's degree,standard,complete,45,82,30
other,group B,high school,standard,not complete,35,99,78
female,group E,College,free/reduced,not complete,88,58,74
female,group C,associate's degree,standard,not complete,70,71,76
female,group D,associate's degree,free/reduced,not complete,55,71,73
male,group A,associate's degree,free/reduced,not complete,52,91,52
female,group C,college,standard,complete,83,85,71
male,group B,high school,,not complete,75,45,93
female,group B,high school,free/reduced,not complete,39,79,82
male,group C,,free/reduced,not complete,31,38,32
other,group B,college,free/reduced,not complete,90,66,56
male,group E,high school,free/reduced,not complete,57,68,98
female,group E,bachelor's degree,standard,not complete,86,49,57
Male,group C,high school,standard,not complete,88,70,41
undisclosed,group D,associate's degree,standard,not complete,76,99,47
undisclosed,group D,associate's degree,free/reduced,not complete,37,65,80
male,group E,high school,standard,complete,57,56,35
,group E,bachelor's degree,standard,complete,37,52,73
male,group E,high school,standard,not complete,58,78,60
male,group A,high school,standard,complete,36,51,40
male,,high school,free/reduced,complete,59,31,86
female,group A,associate's degree,free/reduced,not complete,77,48,46
male,group B,associate's degree,free/reduced,not complete,57,42,52
male,group C,Associate's degree,standard,complete,97,86,36
female,group E,high school,standard,not complete,76,38,85
female,group B,college,free/reduced,not complete,88,46,41
male,group B,college,free/reduced,not complete,39,40,48
male,group C,Bachelor's degree,standard,complete,60,344,35
female,group A,high school,free/reduced,not complete,31,45,50
female,,college,standard,complete,77,37,42
female,group D,college,standard,not complete,83,34,77
female,group C,college,free/reduced,complete,96,44,74
male,Group D,,free/reduced,complete,88,93,68
male,group B,High school,standard,not complete,68,45,72
female,group C,high school,free/reduced,complete,89,88,60
female,group E,bachelor's degree,standard,complete,96,95,90
other,group D,college,standard,complete,54,95,31
male,group B,Associate's degree,standard,not complete,40,73,42
male,group A,high school,standard,not complete,37,39,64
male,group E,bachelor's degree,free/reduced,complete,83,39,58
male,group E,bachelor's degree,free/reduced,not complete,100,96,64
female,group D,high school,standard,not complete,30,51,61
female,group A,college,free/reduced,not complete,44,94,40
female,group C,master's degree,free/reduced,not complete,57,95,62
female,group C,high school,standard,Not complete,48,33,79
female,Group B,college,free/reduced,not complete,62,68,40
other,group C,associate's degree,free/reduced,not complete,66,67,78
male,group C,college,free/reduced,complete,66,89,60
male,group E,bachelor's degree,free/reduced,not complete,96,58,72
other,group E,master's degree,free/reduced,complete,96,100,78
female,group B,associate's degree,standard,complete,42,72,40
male,group A,college,standard,not complete,43,37,66
female,group C,master's degree,free/reduced,not complete,79,71,98
female,group E,college,standard,complete,86,64,43
male,group E,high school,free/reduced,not complete,94,82,83
female,group D,college,standard,not complete,97,74,73
male,group E,high school,free/reduced,complete,35,72,36
female,group C,college,free/reduced,not complete,73,77,58
female,Group E,high school,free/reduced,complete,61,44,30
male,group A,college,standard,not complete,46,50,63
other,group C,associate's degree,standard,complete,86,99,68
male,group D,bachelor's degree,free/reduced,complete,52,79,42
female,group A,master's degree,,not complete,54,560,68
female,group E,college,free/reduced,complete,84,744,58
female,group B,bachelor's degree,standard,complete,54,60,45
female,group B,high school,free/reduced,complete,74,74,82
female,group C,bachelor's degree,standard,complete,98,43,81
male,group C,high school,free/reduced,Not complete,85,32,57
male,group E,high school,standard,complete,70,70,89
female,group E,high school,standard,not complete,94,46,36
undisclosed,group A,,free/reduced,complete,47,52,35
other,group D,high school,standard,not complete,98,81,43
male,group C,bachelor's degree,free/reduced,complete,79,38,71
male,group E,master's degree,free/reduced,not complete,47,74,30
female,group B,college,Free/reduced,complete,63,32,74
male,group D,bachelor's degree,free/reduced,complete,52,53,61
undisclosed,group B,high school,free/reduced,complete,85,95,71
Female,group C,high school,free/reduced,not complete,87,84,45
female,,high school,free/reduced,complete,38,75,76
male,group E,associate's degree,standard,not complete,45,70,81
male,group A,associate's degree,standard,complete,68,36,65
undisclosed,group B,high school,standard,complete,33,58,38
male,group B,associate's degree,standard,not complete,81,50,97
female,group B,high school,free/reduced,not complete,78,33,56
undisclosed,group E,high school,free/reduced,not complete,55,51,60
female,group B,college,free/reduced,not complete,33,75,37
male,group E,high school,free/reduced,not complete,55,57,82
male,Group C,college,free/reduced,Complete,73,49,47
,group A,associate's degree,free/reduced,not complete,34,66,54
male,group A,bachelor's degree,free/reduced,complete,61,46,92
female,group D,college,standard,not complete,30,48,35
female,group B,college,free/reduced,not complete,63,98,53
female,group A,associate's degree,standard,not complete,50,38,73
male,group A,associate's degree,standard,complete,80,68,87
